n,insert_time,search_time,delete_time
10,0.0000048000,0.0000011000,0.0000034000
50,0.0000295000,0.0000052000,0.0000113000
100,0.0000262000,0.0000109000,0.0000131000
500,0.0001721000,0.0000730000,0.0000755000
1000,0.0003570000,0.0001534000,0.0001515000
5000,0.0020466000,0.0010221000,0.0008564000
10000,0.0042259000,0.0028000000,0.0023956000
50000,0.0238816000,0.0177845000,0.0124286000
100000,0.0511455000,0.0344005000,0.0230417000
500000,0.2882357000,0.1953945000,0.1477032000
1000000,0.5611106000,0.3862880000,0.2975987000
5000000,3.2195555000,1.9981104000,1.7346945000
10000000,8.8453718000,4.0767922000,3.7206676000
20000000,15.2746847000,8.4766550000,7.3191239000
50000000,39.2102526000,26.7800682000,19.6445896000
100000000,95.7496429000,90.2918841000,94.0657546000
