n,insert_time,search_time,delete_time
10,0.0000045000,0.0000011000,0.0000034000
50,0.0000280000,0.0000051000,0.0000105000
100,0.0000257000,0.0000106000,0.0000132000
500,0.0001643000,0.0000711000,0.0000702000
1000,0.0003426000,0.0001493000,0.0001416000
5000,0.0019856000,0.0011511000,0.0008604000
10000,0.0042301000,0.0021090000,0.0020785000
50000,0.0235587000,0.0125066000,0.0107963000
100000,0.0518839000,0.0298501000,0.0222230000
500000,0.2700772000,0.1544179000,0.1219035000
1000000,0.5925315000,0.3026053000,0.2622407000
5000000,3.0945021000,1.7901921000,1.5583679000
10000000,6.6152910000,3.6698024000,3.3162612000
20000000,13.7988212000,9.8678874000,7.4750352000
50000000,37.4236290000,21.6461551000,19.7832356000
100000000,84.7393974000,83.0237875000,89.5747510000
